,gender,race,g1freelunch,birthdate,z,y
2320,1.0,2.0,1.0,1980-06-23,0.0,534.6666666666666
1487,2.0,1.0,2.0,1980-02-15,1.0,543.0
3729,1.0,1.0,1.0,1979-02-09,1.0,479.6666666666667
102,1.0,1.0,1.0,1979-02-06,0.0,502.3333333333333
4149,2.0,1.0,1.0,1980-10-01,0.0,482.3333333333333
2085,1.0,1.0,1.0,1980-04-03,0.0,523.0
3806,1.0,1.0,2.0,1979-10-29,0.0,515.6666666666666
872,1.0,1.0,2.0,1979-12-06,1.0,608.3333333333334
279,1.0,2.0,1.0,1979-04-26,0.0,518.0
3164,2.0,2.0,1.0,1980-03-03,0.0,540.6666666666666
1552,2.0,2.0,1.0,1980-06-05,0.0,526.0
3333,2.0,1.0,2.0,1979-10-26,0.0,588.6666666666666
1162,1.0,1.0,2.0,1980-01-03,1.0,612.0
2928,1.0,1.0,1.0,1980-09-09,1.0,488.0
1803,2.0,1.0,2.0,1980-03-21,0.0,616.0
1570,2.0,1.0,2.0,1980-02-23,1.0,549.6666666666666
2646,1.0,2.0,1.0,1980-07-15,1.0,467.6666666666667
3505,2.0,2.0,1.0,1978-10-21,1.0,523.6666666666666
2052,1.0,1.0,2.0,1980-04-23,0.0,530.3333333333334
1207,1.0,1.0,2.0,1980-09-08,0.0,528.0
2778,1.0,1.0,2.0,1980-08-22,0.0,512.6666666666666
3560,1.0,2.0,1.0,1980-01-19,1.0,493.3333333333333
689,1.0,2.0,2.0,1979-11-19,0.0,556.6666666666666
3401,2.0,1.0,1.0,1980-03-08,0.0,509.3333333333333
961,1.0,1.0,1.0,1979-12-02,0.0,475.6666666666667
3179,1.0,2.0,2.0,1980-05-18,0.0,562.3333333333334
3150,1.0,1.0,2.0,1980-03-27,1.0,599.3333333333334
265,1.0,1.0,2.0,1980-11-19,1.0,572.0
2605,1.0,1.0,2.0,1980-07-26,0.0,584.6666666666666
343,1.0,1.0,2.0,1979-03-01,0.0,489.6666666666667
1122,1.0,1.0,2.0,1979-10-05,0.0,527.6666666666666
1432,2.0,2.0,2.0,1980-04-18,1.0,525.3333333333334
2566,1.0,1.0,2.0,1980-07-05,1.0,503.0
3580,1.0,2.0,1.0,1980-09-15,1.0,530.0
3275,2.0,1.0,,1979-09-30,0.0,495.6666666666667
1977,2.0,2.0,2.0,1980-04-11,1.0,531.3333333333334
2989,2.0,2.0,1.0,1980-10-01,0.0,566.3333333333334
3840,1.0,1.0,1.0,1980-01-03,0.0,527.3333333333334
1678,2.0,2.0,1.0,1980-07-21,1.0,507.6666666666667
1218,1.0,1.0,2.0,1980-01-28,1.0,585.3333333333334
1913,2.0,1.0,2.0,1980-02-29,0.0,523.6666666666666
1733,1.0,2.0,1.0,1980-02-12,0.0,534.6666666666666
1138,1.0,1.0,2.0,1980-02-22,1.0,552.6666666666666
887,1.0,1.0,2.0,1979-12-14,0.0,503.3333333333333
785,2.0,1.0,1.0,1979-11-05,1.0,599.3333333333334
2758,2.0,1.0,2.0,1980-07-12,1.0,506.0
518,2.0,1.0,2.0,1979-08-14,0.0,545.3333333333334
2314,1.0,1.0,1.0,1980-04-29,1.0,581.0
3775,2.0,2.0,2.0,1980-06-11,0.0,597.3333333333334
1549,1.0,2.0,2.0,1980-06-02,1.0,593.3333333333334
2372,2.0,1.0,2.0,1980-05-09,1.0,574.0
3966,2.0,2.0,1.0,1979-10-10,0.0,479.0
2159,1.0,1.0,2.0,1980-05-02,1.0,513.6666666666666
