,gender,race,g1freelunch,birthdate,z,y
4099,1.0,1.0,1.0,1980-01-27,1.0,567.6666666666666
2233,2.0,2.0,1.0,1980-05-09,1.0,519.6666666666666
1277,2.0,2.0,1.0,1980-02-23,1.0,507.0
3048,1.0,1.0,2.0,1979-12-15,1.0,610.3333333333334
2312,1.0,1.0,1.0,1980-05-30,0.0,497.0
3153,1.0,2.0,1.0,1980-04-28,0.0,522.6666666666666
2673,1.0,1.0,2.0,1980-07-24,0.0,538.0
2617,2.0,1.0,2.0,1980-06-19,1.0,571.0
1934,1.0,1.0,2.0,1980-03-05,1.0,541.6666666666666
3673,2.0,1.0,2.0,1980-04-08,1.0,594.3333333333334
3070,2.0,2.0,2.0,1980-08-13,1.0,549.3333333333334
653,1.0,1.0,1.0,1979-10-04,0.0,453.6666666666667
2002,1.0,1.0,2.0,1980-04-24,0.0,529.0
602,1.0,1.0,1.0,1979-09-26,0.0,525.6666666666666
1618,1.0,2.0,1.0,1980-06-30,1.0,530.0
712,2.0,2.0,2.0,1979-11-19,1.0,500.3333333333333
1053,1.0,1.0,2.0,1979-12-30,0.0,597.3333333333334
2631,2.0,1.0,2.0,1980-06-27,0.0,553.3333333333334
1991,1.0,1.0,2.0,1980-05-23,1.0,555.3333333333334
2503,1.0,1.0,1.0,1980-07-13,0.0,504.0
3653,2.0,1.0,1.0,1978-06-26,0.0,491.3333333333333
1352,1.0,1.0,2.0,1980-01-21,1.0,599.3333333333334
1783,2.0,2.0,1.0,1980-08-21,0.0,472.0
1859,1.0,1.0,2.0,1980-03-01,1.0,551.0
1911,1.0,1.0,2.0,1980-02-15,1.0,603.0
1515,1.0,2.0,1.0,1980-05-18,1.0,497.6666666666667
1746,1.0,1.0,1.0,1980-02-06,1.0,514.3333333333334
3516,2.0,1.0,1.0,1979-05-16,0.0,493.6666666666667
1915,2.0,1.0,2.0,1980-03-15,1.0,526.3333333333334
3347,1.0,1.0,1.0,1980-07-30,1.0,490.0
1511,1.0,1.0,2.0,1980-02-04,0.0,620.6666666666666
2598,1.0,1.0,2.0,1980-07-14,1.0,566.0
1596,2.0,2.0,2.0,1980-06-28,0.0,542.3333333333334
2511,2.0,1.0,2.0,1980-07-27,0.0,533.3333333333334
300,2.0,2.0,1.0,1979-12-10,0.0,546.3333333333334
2072,2.0,1.0,2.0,1980-04-03,1.0,490.0
2361,2.0,1.0,2.0,1980-06-16,1.0,516.0
2470,1.0,1.0,1.0,1980-08-05,0.0,494.0
1910,2.0,1.0,2.0,1980-03-16,0.0,548.0
2795,2.0,2.0,1.0,1980-08-10,1.0,527.0
612,2.0,1.0,2.0,1979-09-08,0.0,579.0
1528,1.0,1.0,1.0,1980-02-25,0.0,530.3333333333334
2738,1.0,1.0,2.0,1980-08-21,1.0,562.6666666666666
870,2.0,1.0,2.0,1979-12-03,1.0,532.0
4206,1.0,1.0,1.0,1979-09-22,1.0,510.3333333333333
1989,1.0,1.0,1.0,1980-04-28,1.0,548.3333333333334
